class_title,midpoint_x,midpoint_y,distance,angle_to_horizonal
offstreet_parking_bays,67.0,191.0,106.30145812734649,41.18592516570965
offstreet_parking_bays,127.0,187.5,111.12605455067681,42.44710185282825
offstreet_parking_bays,186.0,184.5,109.78615577567146,41.67687955486456
offstreet_parking_bays,228.5,166.5,69.35416353759881,42.66269414087618
offstreet_parking_bays,24.5,208.5,65.19202405202648,41.268603000839555
offstreet_parking_bays,12.0,107.5,77.23341245859851,85.54439716667369
offstreet_parking_bays,50.0,106.0,78.23042886243178,85.60129464500447
offstreet_parking_bays,88.5,104.5,75.16648189186454,86.18592516570965
offstreet_parking_bays,127.5,104.0,68.18357573492314,85.79464299829141
offstreet_parking_bays,167.5,103.5,71.34423592694787,84.36931724236474
