class_title,midpoint_x,midpoint_y,distance,angle_to_horizonal
offstreet_parking_bays,95.0,152.0,98.18350166906862,-3.503531644784458
offstreet_parking_bays,192.5,145.5,95.13148795220224,-3.01278750418334
offstreet_parking_bays,45.0,142.5,27.073972741361768,85.76360520094116
offstreet_parking_bays,143.5,136.0,26.019223662515376,87.7974018382342
offstreet_parking_bays,240.0,130.5,25.079872407968907,85.42607874009914
offstreet_parking_bays,248.0,143.0,14.0,-0.0
offstreet_parking_bays,31.5,244.5,24.698178070456937,-58.240519915187214
offstreet_parking_bays,84.5,242.0,27.294688127912362,-61.55707137563666
offstreet_parking_bays,137.0,240.5,31.38470965295043,-59.34933204294713
offstreet_parking_bays,189.5,238.5,35.35533905932738,-61.26020470831195
