class_title,midpoint_x,midpoint_y,distance,angle_to_horizonal
offstreet_parking_bays,35.0,28.0,68.11754546370561,-3.3664606634298013
offstreet_parking_bays,39.5,69.0,69.26037828369117,-4.969740728110304
offstreet_parking_bays,42.5,110.0,69.1158447825099,-3.3177811683348435
offstreet_parking_bays,45.0,150.0,68.11754546370561,-3.3664606634298013
offstreet_parking_bays,47.5,192.0,65.12296062065974,-3.5214533769222385
offstreet_parking_bays,49.0,232.5,66.06814663663572,-2.602562202499806
offstreet_parking_bays,221.5,7.5,63.198101237299845,-4.537772507906651
offstreet_parking_bays,223.5,49.5,63.071388124885914,-2.7263109939062655
offstreet_parking_bays,224.5,91.0,59.135437767890075,-3.878524502847706
offstreet_parking_bays,226.5,134.5,59.21148537234985,-4.844000375080679
offstreet_parking_bays,227.0,178.5,56.08029957123981,-3.0664855011258934
offstreet_parking_bays,228.5,220.0,53.150729063673246,-4.316027519865624
