class_title,midpoint_x,midpoint_y,distance,angle_to_horizonal
edge_of_road,236.5,54.5,43.01162633521314,35.53767779197438
edge_of_road,205.5,83.5,38.600518131237564,53.42696902148067
edge_of_road,188.0,116.5,30.675723300355934,70.97439396243132
edge_of_road,180.5,152.0,38.01315561749642,88.49256424122504
edge_of_road,182.5,232.5,43.289721643826724,83.36748538486154
edge_of_road,35.0,227.0,48.16637831516918,85.23635830927383
edge_of_road,26.5,149.5,25.96150997149434,74.35775354279127
edge_of_road,15.5,124.5,21.95449840010015,59.93141717813756
edge_of_road,5.5,109.5,14.212670403551895,50.71059313749964
Driveway,30.5,181.5,39.11521443121589,85.60129464500447
Driveway,181.0,190.5,37.0,90.0
