class_title,midpoint_x,midpoint_y,distance,angle_to_horizonal
offstreet_parking_bays,33.0,19.0,66.03029607687671,-1.7357045889283889
offstreet_parking_bays,34.5,61.0,67.02984409947557,-1.7098140441415308
offstreet_parking_bays,37.0,102.0,72.11102550927978,-3.1798301198642345
offstreet_parking_bays,36.0,142.0,72.11102550927978,-3.1798301198642345
offstreet_parking_bays,38.5,184.5,73.17103251970687,-3.9182488640673765
offstreet_parking_bays,229.5,172.0,49.040799340956916,-2.33730585912382
offstreet_parking_bays,41.0,226.5,78.31347265956222,-5.128191041852838
offstreet_parking_bays,228.5,89.0,53.03772242470448,-2.1610794882263713
offstreet_parking_bays,226.5,57.0,53.03772242470448,-2.1610794882263713
offstreet_parking_bays,225.0,137.0,58.0,-0.0
